timestep,flow,occupy,speed
615,72,0.0379,66.5
616,63,0.0361,65.3
617,61,0.0374,62.7
618,58,0.0324,64.6
619,63,0.0327,65.8
620,71,0.0356,67.5
621,62,0.0363,64.9
622,64,0.0382,62.7
623,38,0.0254,66.1
624,62,0.0306,67.3
625,74,0.0399,65.1
626,68,0.0364,63.5
627,57,0.0315,65
628,68,0.035,65.9
629,64,0.0318,67.1
630,72,0.0338,66.5
631,74,0.0346,67.9
632,71,0.0398,63.6
633,85,0.0407,64.3
634,74,0.0366,64.5
635,84,0.0389,66.4
636,75,0.0344,67.3
637,70,0.0322,68.6
638,70,0.0331,68.7
639,76,0.0385,67.6
640,84,0.0384,68.3
641,86,0.039,66.3
642,98,0.0429,65.4
643,109,0.0435,66.4
644,101,0.0416,66.1
645,108,0.0464,64.6
646,116,0.0455,66.5
647,114,0.0467,65.1
648,105,0.0436,66.7
649,97,0.0383,67
650,109,0.0406,67.6
651,101,0.0441,64.5
652,125,0.0502,63.4
653,152,0.0505,66
654,153,0.0518,65.1
655,146,0.0501,66
656,157,0.0545,66.7
657,151,0.0521,67.8
658,167,0.0572,66.6
659,164,0.0508,68.3
660,148,0.0561,66.2
661,152,0.0574,64.4
662,144,0.049,66.5
663,164,0.056,66.3
664,175,0.0599,65.5
665,141,0.0512,65.8
666,155,0.0532,64
667,187,0.0571,67.4
668,174,0.0518,69.3
669,185,0.0605,68.7
670,219,0.0663,68.2
671,216,0.0652,68.7
672,201,0.0694,66
673,190,0.0662,64.4
674,195,0.0681,64.4
675,218,0.0706,63.9
676,204,0.065,64.6
677,219,0.0661,65.1
678,217,0.0703,65
679,214,0.0642,65.5
680,238,0.0772,63.5
681,286,0.0813,65.4
682,263,0.0831,64.1
683,309,0.0953,63.2
684,279,0.0844,64.1
685,243,0.0738,65.4
686,225,0.0658,66.4
687,297,0.0932,65.5
688,302,0.0891,66.3
689,286,0.087,65.6
690,295,0.0933,63.8
691,318,0.0956,63
692,304,0.0894,64.3
693,344,0.0993,64.6
694,350,0.1016,64.9
695,346,0.0994,65.5
696,340,0.0923,65.9
697,308,0.0885,66.9
698,331,0.1057,63.9
699,332,0.0906,65.4
700,306,0.0945,63.9
701,285,0.0944,62.9
702,360,0.1025,63.8
703,336,0.0984,64.7
704,336,0.0992,64.4
705,345,0.1005,64.8
706,344,0.0961,65.9
707,388,0.1115,64.2
708,338,0.1115,63.2
709,333,0.0981,64
710,353,0.1054,64.4
711,340,0.1018,64.2
712,330,0.0945,65.7
713,363,0.1138,64.3
714,383,0.1036,65.1
715,357,0.1099,64.7
716,392,0.1131,63.8
717,361,0.1065,64.2
718,375,0.1085,64.7
719,360,0.1086,64.1
720,329,0.0934,65.2
721,366,0.1099,64
722,381,0.1068,65.2
723,355,0.1005,65.7
724,405,0.1138,66
725,356,0.1048,65.7
726,361,0.1036,65.4
727,368,0.1093,64.4
728,366,0.1051,65
729,382,0.1138,64.7
730,424,0.1268,63.4
731,380,0.1152,62.6
732,432,0.1158,63.8
733,367,0.1049,64.5
734,425,0.1172,65.1
735,369,0.1058,65.2
736,396,0.1083,65.7
737,420,0.118,66.1
738,369,0.1057,65.6
739,389,0.1103,65.7
740,420,0.116,65.3
741,401,0.1152,64.2
742,420,0.1172,64.7
743,362,0.1111,64
744,395,0.1135,64.6
745,366,0.0978,65.8
746,420,0.1186,65.6
747,420,0.119,64.8
748,396,0.1075,65.6
749,390,0.1124,65
750,392,0.1158,64.6
751,383,0.1125,63.7
752,390,0.1149,63.5
753,431,0.128,63.2
754,430,0.1193,64.5
755,409,0.1128,65.2
756,387,0.1139,64.6
757,402,0.1122,64.5
758,369,0.1086,65
759,328,0.1031,63.9
760,388,0.1083,65
761,381,0.1094,64.4
762,390,0.1133,64.9
763,336,0.1043,63.8
764,399,0.1181,63.4
765,379,0.1103,63.9
766,370,0.1087,63.8
767,402,0.1178,64
768,402,0.1168,64.5
769,329,0.0922,64.5
770,375,0.1052,65.2
771,357,0.104,65.6
772,406,0.1148,64.9
773,419,0.116,64.6
774,421,0.1178,65.2
775,390,0.1103,64.6
776,399,0.1162,64
777,372,0.1068,64.2
778,376,0.1073,64.9
779,349,0.1007,65.6
780,355,0.1041,65
781,344,0.0977,65.5
782,333,0.1022,64.9
783,294,0.0881,65.3
784,415,0.1197,65
785,348,0.1027,64.6
786,348,0.1079,63.8
787,375,0.1083,64
788,347,0.0993,64.5
789,378,0.1103,64.4
790,337,0.0956,65.3
791,327,0.0977,64.6
792,337,0.099,65.3
793,343,0.0999,65
794,380,0.1069,65.4
795,368,0.1059,64.5
796,325,0.1034,63.9
797,365,0.1084,63.6
798,353,0.1101,63.3
799,346,0.1008,63.6
800,319,0.0932,64.1
801,358,0.1006,65
802,326,0.0956,64.9
803,323,0.0942,64.8
804,351,0.1014,64.2
805,353,0.1036,64.1
806,306,0.0865,65.3
807,336,0.0916,66.4
808,321,0.0965,65
809,309,0.0947,63.3
810,324,0.0944,63.9
811,323,0.0975,63.6
812,357,0.1024,64.3
813,310,0.0924,63.8
814,296,0.0924,63.2
815,294,0.0897,63.1
816,336,0.0986,64.4
817,272,0.0869,63.9
818,350,0.0968,64.6
819,323,0.0926,64.7
820,323,0.0938,64.9
821,320,0.0967,64.2
822,344,0.0951,64.4
823,364,0.1022,65
824,359,0.1023,64.7
825,340,0.1,64.4
826,286,0.0904,63.2
827,308,0.094,63
828,335,0.0971,63.1
829,299,0.0878,66.3
830,299,0.0883,67.5
831,308,0.088,67.9
832,311,0.0949,66.9
833,320,0.0961,67.1
834,293,0.0904,67.1
835,285,0.0868,68.1
836,364,0.1022,68.7
837,311,0.0892,69.5
838,303,0.0876,69.2
839,316,0.0912,69.1
840,282,0.0826,69.3
841,281,0.0828,69.7
842,290,0.0841,70.4
843,272,0.0773,70.6
844,264,0.0759,70.4
845,203,0.0651,69.5
846,200,0.0586,71.5
847,218,0.0652,71.3
848,329,0.0945,69.9
849,338,0.0998,68.7
850,281,0.0898,67.5
851,244,0.0732,69.2
852,232,0.0721,70
853,233,0.0725,69.9
854,195,0.0635,70.4
855,251,0.0748,70.7
856,214,0.068,70.1
857,205,0.0618,70.9
858,231,0.0681,71.4
859,196,0.0651,71.3
860,177,0.0567,71.2
861,181,0.0578,71
862,155,0.055,70.9
863,170,0.0561,69.9
864,182,0.0637,69.1
865,156,0.0546,66.4
866,165,0.0525,71.5
867,171,0.058,70.9
868,155,0.0514,71.1
869,147,0.0519,71.1
870,130,0.0464,71.1
871,135,0.0499,70.6
872,127,0.0481,70.5
873,134,0.0472,70.3
874,95,0.0383,70.4
875,139,0.0509,70.5
876,99,0.0428,69.2
877,89,0.0394,70.4
878,94,0.0387,70.9
879,92,0.0363,71.5
880,94,0.0377,71.4
881,111,0.0415,71.1
882,105,0.0446,71.3
883,86,0.0355,71.3
884,85,0.036,71.1
885,107,0.0439,71.4
886,104,0.0465,70.6
887,83,0.0371,70.5
888,81,0.0422,69.7
889,75,0.0357,70.3
890,82,0.0373,71
891,89,0.038,71.6
892,73,0.0381,71.1
893,64,0.034,70.5
894,61,0.032,71
895,78,0.0382,71
896,88,0.0406,71.3
897,71,0.0365,71.1
898,72,0.0373,70
899,72,0.0356,71.3
900,57,0.0342,70.8
901,80,0.0407,69.2
902,65,0.036,68.4
903,82,0.0391,68.8
904,64,0.0353,68.4
905,55,0.0326,68.3
906,69,0.0372,68.1
907,84,0.0416,68.6
908,67,0.0372,68.8
909,50,0.034,68.7
910,67,0.0356,68.3
911,59,0.0333,67.2
912,60,0.0337,68.9
913,71,0.0373,68.9
914,56,0.0355,67.7
915,76,0.0419,68.4
916,59,0.0352,69.8
917,93,0.0423,69.7
918,75,0.0417,69.7
919,78,0.0382,69.6
920,86,0.0439,69.3
921,86,0.0431,69
922,86,0.0428,70.2
923,80,0.0377,70.8
924,87,0.0407,70.3
925,77,0.0391,70.7
926,76,0.0363,71.1
927,80,0.0391,71.1
928,83,0.0396,71.2
929,109,0.0479,70
930,116,0.0497,71.4
931,101,0.043,72.1
932,111,0.0493,71.1
933,100,0.0452,70.5
934,115,0.049,70.9
935,120,0.0463,72.6
936,114,0.047,71.7
937,101,0.0453,68.9
938,101,0.0416,68.7
939,115,0.0474,65.8
940,136,0.0506,66.6
941,151,0.0577,66.1
942,137,0.0594,63.2
943,147,0.0543,65.5
944,155,0.0548,66.6
945,161,0.0539,68.8
946,146,0.0517,69
947,169,0.0567,68.6
948,145,0.0529,68
949,142,0.0551,65.2
950,122,0.0474,65.9
951,129,0.0503,65.9
952,154,0.0553,64.5
953,126,0.0508,63.4
954,158,0.0534,66
955,155,0.0514,68.4
956,161,0.0621,65.1
957,160,0.0558,67.2
958,168,0.0596,65.6
959,185,0.0628,63.9
960,156,0.0543,65.8
961,164,0.0532,67.3
962,171,0.0594,65.3
963,152,0.0535,65.2
964,186,0.0692,62.8
965,167,0.0589,64.5
966,220,0.068,65.7
967,182,0.0626,65.1
968,164,0.0574,64.9
969,194,0.0597,67.9
970,193,0.0648,67.6
971,217,0.077,64.7
972,227,0.0766,64.9
973,226,0.0756,64.7
974,196,0.068,63.9
975,215,0.0682,65.8
976,218,0.0724,65.5
977,219,0.0794,63.9
978,215,0.0803,63.4
979,213,0.0767,63.4
980,255,0.081,64.3
981,228,0.0778,63.9
982,254,0.0801,64.9
983,243,0.0827,63.9
984,290,0.0842,65.9
985,259,0.0845,64.7
986,266,0.082,66.7
987,251,0.0776,67.2
988,302,0.0895,67.5
989,263,0.0779,67.8
990,265,0.0914,65
991,278,0.0818,66
992,306,0.098,65.3
993,292,0.0892,65.7
994,310,0.0964,65.6
995,339,0.1008,66
996,307,0.0887,66.5
997,311,0.1039,65
998,340,0.0968,66.8
999,356,0.1061,67
1000,345,0.0991,67.7
1001,334,0.1017,66.8
1002,308,0.0924,67.9
1003,350,0.1099,66.3
1004,336,0.1073,64.7
1005,360,0.1103,64.6
1006,379,0.1075,64.6
1007,338,0.1008,66
1008,343,0.0965,67.9
1009,332,0.1001,67
1010,400,0.1163,66.5
1011,358,0.1057,66.1
1012,399,0.1141,66.2
1013,379,0.1119,66.4
1014,356,0.0999,66.8
1015,405,0.1181,66.3
1016,367,0.1095,65.8
1017,380,0.1144,65.4
1018,413,0.1181,66.2
1019,359,0.104,67
1020,425,0.1175,67
1021,401,0.1133,67.1
1022,416,0.1231,66.5
1023,391,0.1225,64.7
1024,397,0.1151,65.8
1025,369,0.108,65.8
1026,337,0.1012,65.2
1027,406,0.1148,65.6
1028,406,0.1216,64.6
1029,430,0.1213,65.2
1030,411,0.1176,65.8
1031,415,0.1232,64.9
1032,405,0.1193,65.5
1033,421,0.1235,64.9
1034,459,0.121,66.1
1035,415,0.1141,66.7
1036,440,0.1184,67.3
1037,421,0.1174,67.2
1038,443,0.1256,66.3
1039,427,0.1257,66
1040,432,0.1182,66.3
1041,436,0.1189,66.8
1042,405,0.1153,65.9
1043,386,0.1167,64.1
1044,425,0.1189,65.6
1045,392,0.1081,66.4
1046,398,0.1114,65.9
1047,407,0.1164,65.1
1048,377,0.1066,65.8
1049,417,0.1189,65.3
1050,331,0.0947,65.5
1051,378,0.1133,65.5
1052,363,0.1111,64
1053,345,0.1025,65.1
1054,424,0.1184,65.4
1055,357,0.1061,64.6
1056,344,0.0952,66.3
1057,422,0.1115,66.9
1058,429,0.116,67.3
1059,344,0.1003,66.7
1060,382,0.1112,66.3
1061,376,0.0999,67.5
1062,361,0.1026,67.1
1063,360,0.1046,66.4
1064,349,0.1034,66.3
1065,366,0.1071,66.1
1066,380,0.1039,66.4
1067,360,0.1032,66.2
1068,363,0.1059,65.1
1069,362,0.1016,65
1070,327,0.0987,64.8
1071,315,0.0908,64.9
1072,343,0.1007,64.6
1073,350,0.0943,66.2
1074,321,0.0971,65.2
1075,318,0.0941,65.3
1076,354,0.1007,65.8
1077,260,0.0814,65.4
1078,308,0.094,64.5
1079,304,0.0913,64.6
1080,289,0.0944,63.6
1081,316,0.0993,63.8
1082,279,0.0901,62.6
1083,326,0.0984,63.7
1084,343,0.1001,64.4
1085,304,0.1007,63.3
1086,324,0.0937,64
1087,329,0.099,64.7
1088,300,0.0915,64.7
1089,249,0.0745,64
1090,266,0.0829,64.7
1091,286,0.0846,65.5
1092,323,0.0985,65.2
